Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh;
1094;0;1;0;0;2;8;15;A01;
1094;0;7;0;0;2;7;15;B02;
1095;0;7;0;0;2;3;1;A01;
1095;0;3;0;0;2;3;1;B02;
1096;0;7;0;0;2;3;1;B02;
1096;0;7;0;0;2;6;13;A01;
1097;0;7;0;0;1;3;1;A01;
1098;0;33;0;0;1;7;1;A01;
1099;0;7;0;0;0;1;0;B02;
1099;0;7;0;0;0;1;1;A01;
1100;0;7;0;13;0;2;14;A01;
1101;0;7;0;0;2;3;13;A01;
1101;0;7;0;10;2;3;1;B02;
1102;0;7;0;0;1;1;1;A01;
1103;0;7;0;0;1;3;1;A01;
1104;0;7;0;0;2;2;1;B02;
1104;0;7;0;0;2;2;0;A01;
1105;0;7;0;13;0;1;0;A01;
1106;0;7;0;0;1;2;1;A01;
1107;0;33;0;8;0;1;0;A01;
1108;1;7;0;0;1;6;19;A01;
1109;0;7;0;0;2;3;13;A01;
1109;0;7;0;0;2;3;1;B02;
1110;0;7;0;0;2;1;15;A01;
1110;0;30;0;0;2;1;1;B02;
1111;0;7;0;0;1;2;1;A01;
1112;0;33;0;0;2;1;1;A01;
1112;0;7;0;0;2;2;15;B02;
1113;0;30;0;0;2;1;1;A01;
1113;2;7;0;0;2;8;19;B02;
1114;0;7;0;0;2;2;2;A01;
1114;0;7;0;0;2;1;1;B02;
1114;0;7;0;0;2;1;0;C03;
1114;0;10;0;13;0;2;1;D04;
1115;0;7;0;0;2;1;13;A01;
1115;0;7;0;0;2;1;1;B02;
1116;0;7;0;0;2;6;15;A01;
1116;0;33;0;0;2;1;17;B02;
1117;0;7;0;0;1;1;1;A01;
1118;0;31;0;5;0;1;1;A01;
1119;0;7;0;0;2;8;1;B02;
1119;0;7;0;0;2;1;15;A01;
1120;0;7;0;0;2;2;1;A01;
1120;0;2;0;0;2;1;13;B02;
1121;0;1;0;0;0;0;1;A01;
1122;0;7;0;13;0;3;0;A01;
1123;0;7;0;2;0;9;1;A01;
1124;0;30;0;0;1;1;0;A01;
1124;0;30;0;0;2;1;2;B02;
1125;0;14;0;0;2;3;21;B02;
1125;0;7;0;0;2;3;13;A01;
1126;0;7;0;13;0;2;1;A01;
1127;0;7;0;0;1;2;1;A01;
1128;0;7;0;13;0;7;1;A01;
1129;0;7;0;0;2;1;1;A01;
1129;0;7;0;0;2;8;1;B02;
1130;0;10;0;0;2;3;15;A01;
1130;0;10;0;0;2;5;1;B02;
1131;0;7;0;0;2;3;1;A01;
1131;0;7;0;0;2;1;19;B02;
1132;0;7;0;13;0;2;1;A01;
1133;0;7;0;13;0;1;1;A01;
1134;0;14;0;0;2;1;0;A01;
1134;0;7;0;0;2;1;5;B02;
1135;0;7;0;0;2;1;13;A01;
1135;0;7;0;0;2;1;1;B02;
1136;0;7;0;0;2;2;15;A01;
1136;0;7;0;0;2;1;1;B02;
1136;0;7;0;0;0;8;23;C03;
1137;0;21;0;0;0;4;4;A01;
1137;0;1;0;0;2;1;1;B02;
1138;0;7;0;6;0;3;1;A01;
1139;0;7;0;13;0;1;1;A01;
1140;0;17;0;13;0;3;1;A01;
1141;0;10;0;0;2;1;1;A01;
1141;0;10;0;0;2;1;1;B02;
1142;0;7;0;0;2;2;15;A01;
1142;0;1;0;0;2;1;1;B02;
1143;0;7;0;2;0;9;1;A01;
1144;0;7;0;0;1;3;17;A01;
1144;0;7;0;14;0;0;1;B02;
1145;0;7;0;0;2;2;1;A01;
1145;0;7;0;0;2;6;1;B02;
1146;0;7;0;0;1;8;1;A01;
1147;1;7;0;0;1;2;2;A01;
1148;0;10;0;0;2;7;15;A01;
1148;0;7;0;0;2;1;1;B02;
1149;0;7;0;0;2;2;15;A01;
1149;0;2;0;0;2;8;0;B02;
1150;0;7;0;0;2;2;1;A01;
1150;0;7;0;0;2;3;1;B02;
1151;0;33;0;0;2;1;1;A01;
1151;0;7;0;0;2;6;6;B02;
1152;0;10;0;8;0;7;17;A01;
1153;0;7;0;0;2;1;1;A01;
1153;0;7;0;0;2;3;2;B02;
1154;0;36;0;6;0;9;20;A01;
1155;0;7;0;0;2;1;5;A01;
1155;0;7;0;0;2;1;1;B02;
1156;0;7;0;2;0;1;1;A01;
1157;0;1;0;0;2;4;1;B02;
1157;0;7;0;0;2;2;1;A01;
1158;0;7;0;0;2;1;1;A01;
1158;0;7;0;0;2;3;5;B02;
1159;0;7;0;0;2;2;1;A01;
1159;0;7;0;0;2;1;1;B02;
1160;0;7;0;0;2;5;13;A01;
1160;0;7;0;0;2;2;1;B02;
1161;0;30;0;0;1;1;2;A01;
1162;0;7;0;0;0;0;1;B02;
1162;0;33;0;0;0;0;1;A01;
1163;0;7;0;13;0;2;17;A01;
1164;0;7;0;2;0;4;0;A01;
1165;0;7;0;13;0;1;13;A01;
1166;0;33;0;13;0;1;1;A01;
1167;0;7;0;0;1;3;1;A01;
1168;0;7;0;0;1;1;1;A01;
1169;0;7;0;0;2;2;1;A01;
1169;0;30;0;0;2;6;1;B02;
1170;0;7;0;0;9;1;1;A01;
1171;0;7;0;0;1;3;1;A01;
1172;0;7;0;13;0;1;1;A01;
1173;0;7;0;0;1;2;1;A01;
1174;0;7;0;0;2;8;1;A01;
1174;0;31;0;0;2;1;1;B02;
1175;0;7;0;0;2;1;1;A01;
1175;0;7;0;0;2;5;19;B02;
1176;0;15;0;0;2;2;1;A01;
1176;0;7;0;0;2;8;19;B02;
1177;0;7;0;0;9;1;1;A01;
1177;0;1;0;0;2;1;5;B02;
1178;0;33;0;0;2;1;13;A01;
1178;0;7;0;0;2;8;0;B02;
1179;0;7;0;6;0;1;1;A01;
1180;0;99;0;0;0;6;15;B02;
1180;0;31;0;0;2;1;17;A01;
1181;0;7;0;0;2;1;19;A01;
1181;0;7;0;0;2;3;1;B02;
1182;0;33;0;0;2;1;1;A01;
1182;0;21;0;0;2;3;15;B02;
1183;1;7;0;0;1;3;1;A01;
1184;0;33;0;13;0;1;1;A01;
1185;0;15;0;0;2;1;2;A01;
1185;0;17;0;0;2;4;2;C03;
1185;0;14;0;0;2;4;2;B02;
1186;0;7;0;2;0;2;1;A01;
1187;0;10;0;2;0;3;1;A01;
1188;0;7;0;0;2;1;1;B02;
1188;0;7;0;0;2;8;19;A01;
1189;0;33;0;16;0;7;17;A01;
1190;0;7;0;0;2;1;1;B02;
1190;0;7;0;0;2;2;15;A01;
1191;0;7;0;13;0;3;1;A01;
1191;0;7;0;0;2;1;1;B02;
1192;0;7;0;0;1;3;1;A01;
1193;0;10;0;0;0;7;13;A01;
1193;0;7;0;0;2;1;1;B02;
1194;0;10;0;0;2;8;15;B02;
1194;0;2;0;0;2;7;17;A01;
1195;0;7;0;0;2;3;13;A01;
1195;0;7;0;0;2;3;1;B02;
1196;0;7;0;0;2;3;13;A01;
1196;0;10;0;0;2;3;1;B02;
1197;0;7;0;0;2;2;19;A01;
1197;0;7;0;0;2;3;1;B02;
1198;0;7;0;12;0;2;1;A01;
1199;0;7;0;0;1;2;1;A01;
1200;0;7;0;0;2;3;1;A01;
1200;0;1;0;0;2;7;1;B02;
1201;0;7;0;0;1;1;1;A01;
1202;0;7;0;0;2;4;15;A01;
1202;0;33;0;0;2;1;1;B02;
1203;0;7;0;8;0;1;1;A01;
1204;0;7;0;0;1;1;15;A01;
1205;0;7;0;0;0;3;1;A01;
1206;0;7;0;8;0;1;1;A01;
1207;0;7;0;0;2;1;9;A01;
1207;0;31;0;0;2;7;1;B02;
1208;0;7;0;13;0;2;1;A01;
1209;0;7;0;0;2;1;1;A01;
1209;0;7;0;0;2;1;1;B02;
1210;0;7;0;13;0;1;1;A01;
1211;0;7;0;12;0;3;1;A01;
1211;0;10;0;0;0;2;19;B02;
1212;0;7;0;0;2;1;1;A01;
1212;0;14;0;0;2;6;1;B02;
1213;0;33;0;0;0;1;1;A01;
1214;0;7;0;2;9;7;1;A01;
1215;0;7;0;0;2;3;1;B02;
1215;0;7;0;0;2;3;2;C03;
1215;0;7;0;0;2;3;1;A01;
